Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Australia and New Zealand,1980,1430,3500,2447.6
Australia and New Zealand,1981,1450,3250,2241.4
Australia and New Zealand,1982,1480,3450,2331.1
Australia and New Zealand,1983,1560,3600,2307.7
Australia and New Zealand,1984,1700,3700,2176.5
Australia and New Zealand,1985,1950,4000,2051.3
Australia and New Zealand,1986,2300,4900,2130.4
Australia and New Zealand,1987,2400,4500,1875
Australia and New Zealand,1988,2600,4900,1884.6
Australia and New Zealand,1989,2900,5000,1724.1
Australia and New Zealand,1990,3000,5000,1666.7
Australia and New Zealand,1991,3100,9000,2903.2
Australia and New Zealand,1992,3900,9500,2435.9
Australia and New Zealand,1993,4600,10000,2173.9
Australia and New Zealand,1994,4670,11000,2355.5
Australia and New Zealand,1995,4700,12500,2659.6
Australia and New Zealand,1996,4730,13000,2748.4
Australia and New Zealand,1997,4800,15000,3125
Australia and New Zealand,1998,4850,17500,3608.2
Australia and New Zealand,1999,5000,18000,3600
Australia and New Zealand,2000,5840,21000,3595.9
Australia and New Zealand,2001,2157,20100,9318.5
Australia and New Zealand,2002,2727,20600,7554.1
Australia and New Zealand,2003,3555,22200,6244.7
Australia and New Zealand,2004,5053,25300,5006.9
Australia and New Zealand,2005,5580,35600,6379.9
Australia and New Zealand,2006,6978,35000,5015.8
Australia and New Zealand,2007,9376,58500,6239.3
Australia and New Zealand,2008,12013,57400,4778.2
Australia and New Zealand,2009,17465,80400,4603.5
Australia and New Zealand,2010,23797,86100,3618.1
Australia and New Zealand,2011,25666,82900,3230
Australia and New Zealand,2012,26058,109200,4190.7
Australia and New Zealand,2013,28586,161600,5653.1
Australia and New Zealand,2014,28060,152470,5433.7
Australia and New Zealand,2015,28190,155300,5509
Australia and New Zealand,2016,28553,174660,6117
Australia and New Zealand,2017,29282,185980,6351.3
Australia and New Zealand,2018,31361,173000,5516.4
Australia and New Zealand,2019,37903,212000,5593.2
Australia and New Zealand,2020,47239,258000,5461.6
Australia and New Zealand,2021,51971,316000,6080.3
Australia and New Zealand,2022,56525,365000,6457.3
Australia and New Zealand,2023,40856,260000,6363.8
Central America,1961,0,0,
Central America,1962,0,0,
Central America,1963,0,0,
Central America,1964,0,0,
Central America,1965,0,0,
Central America,1966,0,0,
Central America,1967,0,0,
Central America,1968,0,0,
Central America,1969,0,0,
Central America,1970,0,0,
Central America,1971,0,0,
Central America,1972,0,0,
Central America,1973,0,0,
Central America,1974,0,0,
Central America,1975,0,0,
Central America,1976,0,0,
Central America,1977,0,0,
Central America,1978,0,0,
Central America,1979,0,0,
Central America,1980,419,1027,2451.1
Central America,1981,424,1512,3566
Central America,1982,430,1281,2979.1
Central America,1983,413,1432,3467.3
Central America,1984,22,14,636.4
Central America,1985,54,49,907.4
Central America,1986,370,499,1348.6
Central America,1987,21,16,761.9
Central America,1988,146,416,2849.3
Central America,1989,54,417,7722.2
Central America,1990,59,411,6966.1
Central America,1991,74,119,1608.1
Central America,1992,43,132,3069.8
Central America,1993,125,360,2880
Central America,1994,89,103,1157.3
Central America,1995,73,92,1260.3
Central America,1996,63,113,1793.7
Central America,1997,64,109,1703.1
Central America,1998,61,152,2491.8
Central America,1999,61,74,1213.1
Central America,2000,61,97,1590.2
Central America,2001,38,57,1500
Central America,2002,38,76,2000
Central America,2003,38,82,2157.9
Central America,2004,40,60,1500
Central America,2005,39,56.21,1436.5
Central America,2006,39,58.31,1504.7
Central America,2007,39,60.66,1547.5
Central America,2008,39,59.69,1513.4
Central America,2009,40,58.72,1479.4
Central America,2010,40,57.75,1445.3
Central America,2011,40,56.79,1412.1
Central America,2012,40,55.82,1412.2
